"","Age"
"641",81
"642",61
"643",71
"644",26
"645",70
"646",34
"647",48
"648",23
"649",60
"650",33
"651",52
"652",55
"653",21
"654",26
"655",77
"656",69
"657",25
"658",43
"659",77
"660",65
"661",31
"662",65
"663",58
"664",63
"665",74
"666",20
"667",42
"668",20
"669",53
"670",40
"671",53
"672",35
"673",20
"674",69
"675",60
"676",45
"677",43
"678",72
"679",28
"680",35
"681",43
"682",51
"683",45
"684",65
"685",48
"686",47
"687",30
"688",45
"689",20
"690",29
"691",54
"692",22
"693",48
"694",32
"695",45
"696",46
"697",60
"698",60
"699",76
"700",31
"701",45
"702",20
"703",36
"704",56
"705",22
"706",29
"707",45
"708",44
"709",45
"710",49
"711",82
"712",33
"713",43
"714",38
"715",51
"716",26
"717",19
"718",33
"719",57
"720",46
"721",46
"722",80
"723",55
"724",29
"725",29
"726",82
"727",66
"728",68
"729",47
"730",44
"731",29
"732",53
"733",49
"734",25
"735",31
"736",29
"737",21
"738",25
"739",25
"740",21
"741",27
"742",41
"743",58
"744",46
"745",30
"746",81
"747",21
"748",31
"749",49
"750",64
"751",75
"752",30
"753",19
"754",59
"755",71
"756",73
"757",19
"758",54
"759",56
"760",54
"761",32
"762",63
"763",48
"764",22
"765",70
"766",64
"767",23
"768",59
"769",43
"770",59
"771",21
"772",33
"773",47
"774",40
"775",26
"776",56
"777",35
"778",78
"779",83
"780",54
"781",34
"782",33
"783",28
"784",70
"785",49
"786",23
"787",47
"788",57
"789",25
"790",60
"791",24
"792",33
"793",25
"794",21
"795",43
"796",53
"797",43
"798",49
"799",36
"800",32
"801",34
"802",78
"803",73
"804",73
"805",70
"806",27
"807",82
"808",22
"809",67
"810",51
"811",54
"812",49
"813",36
"814",45
"815",35
"816",42
"817",56
"818",54
"819",52
"820",30
"821",38
"822",24
"823",42
"824",45
"825",47
"826",36
"827",45
"828",42
"829",22
"830",31
"831",28
"832",30
"833",26
"834",26
"835",39
"836",21
"837",19
"838",61
"839",65
"840",74
"841",61
"842",64
"843",24
"844",45
"845",27
"846",32
"847",48
"848",29
"849",29
"850",23
"851",85
"852",32
"853",67
"854",53
"855",28
"856",27
"857",19
"858",34
"859",47
"860",36
"861",38
"862",55
"863",38
"864",32
"865",76
"866",20
"867",63
"868",55
"869",48
"870",56
"871",46
"872",65
"873",34
"874",74
"875",28
"876",36
"877",52
"878",33
"879",64
"880",29
"881",33
"882",18
"883",65
"884",23
"885",41
"886",49
"887",50
"888",24
"889",65
"890",21
"891",52
"892",71
"893",79
"894",74
"895",74
"896",29
"897",31
"898",35
"899",53
"900",41
"901",26
"902",51
"903",56
"904",19
"905",25
"906",69
"907",72
"908",56
"909",53
"910",60
"911",64
"912",51
"913",68
"914",27
"915",54
"916",33
"917",40
"918",26
"919",84
"920",34
"921",59
"922",53
"923",29
"924",75
"925",73
"926",63
"927",34
"928",51
"929",43
