"","Family_Income","Degree"
"273",41667,"High School"
"274",50926,"High School"
"275",69444,"Bachelor"
"276",101852,"High School"
"277",60185,"High School"
"278",41667,"High School"
"279",33333,"Lt High School"
"280",25926,"High School"
"281",18519,"Lt High School"
"282",33333,"Lt High School"
"283",50926,"High School"
"284",83333,"High School"
"285",11111,"High School"
"286",41667,"Lt High School"
"287",41667,"Lt High School"
"288",25926,"High School"
"289",3704,"Lt High School"
"290",69444,"Graduate"
"291",33333,"Lt High School"
"292",33333,"High School"
"293",41667,"Lt High School"
"294",50926,"High School"
"295",41667,"High School"
"296",25926,"High School"
"298",11111,"Lt High School"
"299",11111,"High School"
"301",11111,"High School"
"303",33333,"High School"
"304",33333,"High School"
"305",33333,"Lt High School"
"306",18519,"High School"
"307",33333,"Lt High School"
"308",3704,"Lt High School"
"309",18519,"High School"
"310",11111,"Lt High School"
"311",33333,"High School"
"312",11111,"High School"
"313",11111,"High School"
"315",11111,"Lt High School"
"317",41667,"Lt High School"
"318",33333,"Bachelor"
"319",11111,"Lt High School"
"320",69444,"High School"
"321",50926,"Lt High School"
"322",69444,"Graduate"
"323",69444,"High School"
"324",11111,"Lt High School"
"325",69444,"High School"
"326",69444,"High School"
"327",69444,"Graduate"
"328",83333,"Bachelor"
"329",50926,"High School"
"330",50926,"High School"
"331",25926,"High School"
"332",50926,"High School"
"333",33333,"Lt High School"
"334",50926,"Bachelor"
"335",25926,"Bachelor"
"336",50926,"Lt High School"
"337",41667,"Lt High School"
"338",11111,"Lt High School"
"339",69444,"Lt High School"
"340",3704,"Lt High School"
"341",18519,"Lt High School"
"342",18519,"Lt High School"
"343",11111,"Lt High School"
"344",25926,"Lt High School"
"345",3704,"Lt High School"
"346",3704,"Lt High School"
"348",41667,"Lt High School"
"349",41667,"Lt High School"
"350",18519,"High School"
"351",25926,"Bachelor"
"352",33333,"High School"
"353",60185,"High School"
"354",18519,"High School"
"355",18519,"Lt High School"
"356",18519,"Lt High School"
"357",18519,"Lt High School"
"358",11111,"Lt High School"
"359",18519,"Lt High School"
"360",11111,"Lt High School"
"361",11111,"Lt High School"
"362",11111,"Lt High School"
"363",18519,"High School"
"364",18519,"High School"
"365",3704,"High School"
"366",18519,"Lt High School"
"367",33333,"Lt High School"
"368",11111,"Lt High School"
"369",50926,"Lt High School"
"370",3704,"Lt High School"
"371",41667,"High School"
"372",41667,"High School"
"373",3704,"Lt High School"
"374",33333,"High School"
"375",11111,"Lt High School"
"376",41667,"Lt High School"
"377",33333,"High School"
"379",33333,"High School"
"381",50926,"Lt High School"
"382",25926,"Lt High School"
"383",69444,"Graduate"
"384",18519,"High School"
"385",33333,"High School"
"386",41667,"Lt High School"
"388",60185,"High School"
"389",69444,"Lt High School"
"390",50926,"High School"
"391",3704,"High School"
"392",3704,"Lt High School"
"393",3704,"Lt High School"
"394",3704,"High School"
"395",18519,"Bachelor"
"396",3704,"Lt High School"
"397",3704,"Lt High School"
"398",11111,"High School"
"400",33333,"Lt High School"
"401",11111,"Lt High School"
"402",41667,"Lt High School"
"404",18519,"Lt High School"
"405",11111,"Lt High School"
"406",25926,"High School"
"407",25926,"High School"
"408",18519,"Lt High School"
"409",3704,"Lt High School"
"410",11111,"Lt High School"
"411",33333,"Graduate"
"412",3704,"Lt High School"
"413",11111,"Lt High School"
"414",33333,"Lt High School"
"415",41667,"High School"
"417",33333,"Lt High School"
"418",33333,"Bachelor"
"421",41667,"Lt High School"
"422",18519,"High School"
"423",60185,"High School"
"424",41667,"Lt High School"
"426",50926,"High School"
"427",41667,"High School"
"428",25926,"Lt High School"
"429",83333,"High School"
"430",18519,"High School"
"431",25926,"Lt High School"
"434",11111,"Lt High School"
"435",3704,"Bachelor"
"436",18519,"High School"
"438",41667,"High School"
"439",25926,"High School"
"440",33333,"Lt High School"
"441",60185,"High School"
"442",11111,"Lt High School"
"443",60185,"High School"
"444",130356,"High School"
"445",25926,"Lt High School"
"446",83333,"Lt High School"
"447",50926,"High School"
"448",41667,"High School"
"449",41667,"High School"
"450",25926,"Junior College"
"451",83333,"High School"
"452",41667,"High School"
"453",41667,"High School"
"454",41667,"High School"
"455",18519,"High School"
"456",25926,"Lt High School"
"457",41667,"High School"
"458",60185,"Lt High School"
"460",11111,"High School"
"461",11111,"Lt High School"
"462",3704,"High School"
"463",41667,"Lt High School"
"464",25926,"Lt High School"
"466",3704,"Lt High School"
"467",41667,"Lt High School"
"469",18519,"High School"
"471",33333,"High School"
"472",18519,"Lt High School"
"473",18519,"High School"
"474",18519,"Lt High School"
"475",3704,"High School"
"476",3704,"Lt High School"
"479",33333,"High School"
"480",50926,"High School"
"481",50926,"High School"
"482",11111,"High School"
"483",3704,"Lt High School"
"484",60185,"Graduate"
"485",60185,"Bachelor"
"486",41667,"High School"
"487",33333,"High School"
"488",25926,"High School"
"489",25926,"Lt High School"
"490",33333,"High School"
"491",41667,"Bachelor"
"492",83333,"Lt High School"
"493",50926,"High School"
"494",25926,"High School"
"496",11111,"High School"
"497",11111,"Lt High School"
"498",25926,"High School"
"499",3704,"Lt High School"
"500",3704,"Lt High School"
"501",41667,"Lt High School"
"502",33333,"Lt High School"
"503",41667,"Bachelor"
"504",83333,"Bachelor"
"505",25926,"High School"
"506",50926,"High School"
"507",33333,"High School"
"508",33333,"High School"
"509",41667,"High School"
"510",25926,"High School"
"511",33333,"High School"
"514",25926,"High School"
"515",50926,"High School"
"516",33333,"High School"
"517",60185,"Lt High School"
"518",33333,"Bachelor"
"519",60185,"High School"
"520",41667,"High School"
"521",41667,"High School"
"522",60185,"Bachelor"
"523",50926,"High School"
"524",11111,"Lt High School"
"525",25926,"Lt High School"
"526",11111,"High School"
"527",11111,"Lt High School"
"528",60185,"Lt High School"
"529",11111,"Lt High School"
"530",50926,"Lt High School"
"531",83333,"High School"
"532",41667,"High School"
"533",60185,"High School"
"534",83333,"High School"
"535",41667,"High School"
"536",83333,"High School"
"537",69444,"Bachelor"
"538",50926,"High School"
"540",69444,"High School"
"541",25926,"High School"
"542",25926,"High School"
"543",33333,"Lt High School"
"544",50926,"High School"
"545",33333,"High School"
"546",50926,"High School"
"547",83333,"High School"
"548",25926,"Lt High School"
"549",33333,"High School"
"550",11111,"High School"
"551",50926,"Lt High School"
"552",18519,"High School"
"554",41667,"High School"
"555",25926,"High School"
"556",18519,"High School"
"558",18519,"High School"
"561",25926,"Lt High School"
"563",33333,"High School"
"564",3704,"Lt High School"
"565",18519,"High School"
"568",3704,"Lt High School"
"569",11111,"Lt High School"
"570",11111,"Lt High School"
"571",41667,"High School"
"572",41667,"High School"
"573",41667,"Lt High School"
"575",11111,"Bachelor"
"576",25926,"Lt High School"
"577",33333,"Lt High School"
"578",41667,"High School"
"579",83333,"Lt High School"
"580",25926,"High School"
"581",83333,"Lt High School"
"582",60185,"High School"
"583",50926,"Lt High School"
"584",101852,"High School"
"585",69444,"High School"
"586",60185,"Bachelor"
"587",69444,"High School"
"588",50926,"High School"
"589",50926,"Lt High School"
"590",83333,"High School"
"591",83333,"High School"
"592",60185,"High School"
"593",50926,"High School"
"594",33333,"Bachelor"
"595",33333,"Lt High School"
"596",33333,"High School"
"597",18519,"High School"
"598",33333,"Lt High School"
"599",41667,"High School"
"600",18519,"High School"
"601",25926,"High School"
"602",33333,"High School"
"603",130356,"Lt High School"
"604",60185,"Lt High School"
"605",33333,"High School"
"606",69444,"Lt High School"
"607",18519,"Lt High School"
"609",3704,"Lt High School"
"610",25926,"Lt High School"
"611",11111,"Lt High School"
"612",33333,"Lt High School"
"613",33333,"High School"
"614",25926,"Lt High School"
"615",11111,"Lt High School"
"616",11111,"Lt High School"
"617",69444,"High School"
"618",50926,"Lt High School"
"619",41667,"Lt High School"
"620",60185,"High School"
"621",11111,"Lt High School"
"622",18519,"Lt High School"
"623",60185,"Bachelor"
"624",60185,"High School"
"625",11111,"Bachelor"
"626",33333,"Junior College"
"627",11111,"High School"
"628",33333,"Lt High School"
"629",33333,"Lt High School"
"630",50926,"High School"
"631",11111,"Bachelor"
"632",41667,"Lt High School"
"633",11111,"Lt High School"
"634",33333,"High School"
"635",18519,"High School"
"636",33333,"Junior College"
"637",11111,"High School"
"638",50926,"Bachelor"
"640",25926,"High School"
"641",3704,"High School"
"642",18519,"Lt High School"
"643",41667,"Lt High School"
"644",41667,"High School"
"645",3704,"Lt High School"
"646",41667,"High School"
"647",41667,"Lt High School"
"648",18519,"High School"
"649",33333,"Lt High School"
"650",25926,"Lt High School"
"652",18519,"Lt High School"
"653",25926,"Lt High School"
"654",11111,"High School"
"656",18519,"Lt High School"
"657",18519,"Graduate"
"658",25926,"High School"
"660",11111,"Lt High School"
"661",25926,"Lt High School"
"662",33333,"Lt High School"
"663",3704,"Lt High School"
"664",18519,"High School"
"665",33333,"Bachelor"
"667",60185,"High School"
"668",60185,"High School"
"669",41667,"High School"
"670",18519,"High School"
"671",33333,"Lt High School"
"673",25926,"High School"
"677",83333,"High School"
"679",18519,"Bachelor"
"681",130356,"Graduate"
"683",130356,"Lt High School"
"684",130356,"High School"
"685",130356,"Bachelor"
"686",130356,"Graduate"
"687",60185,"Bachelor"
"688",130356,"Bachelor"
"689",130356,"High School"
"690",11111,"Lt High School"
"691",25926,"High School"
"692",11111,"Lt High School"
"693",18519,"Lt High School"
"694",11111,"High School"
"695",18519,"Lt High School"
"696",11111,"Lt High School"
"697",3704,"Lt High School"
"698",41667,"High School"
"700",33333,"High School"
"702",33333,"High School"
"703",50926,"Graduate"
"704",33333,"Lt High School"
"705",33333,"High School"
"706",69444,"High School"
"707",69444,"High School"
"708",60185,"High School"
"709",33333,"Bachelor"
"710",18519,"High School"
"711",3704,"Lt High School"
"712",41667,"High School"
"713",50926,"High School"
"714",50926,"High School"
"716",50926,"High School"
"717",33333,"Lt High School"
"718",33333,"Bachelor"
"719",41667,"Bachelor"
"720",41667,"Lt High School"
"721",50926,"High School"
"722",3704,"Lt High School"
"723",41667,"Lt High School"
"724",33333,"High School"
"725",25926,"Lt High School"
"726",3704,"Lt High School"
"727",11111,"Lt High School"
"728",18519,"Lt High School"
"729",50926,"Lt High School"
"730",101852,"High School"
"731",69444,"High School"
"732",50926,"Bachelor"
"734",11111,"High School"
"736",33333,"Bachelor"
"737",41667,"Lt High School"
"738",50926,"Lt High School"
"739",41667,"High School"
"740",50926,"High School"
"741",60185,"Lt High School"
"742",50926,"High School"
"743",41667,"High School"
"744",83333,"High School"
"745",33333,"High School"
"746",18519,"Lt High School"
"747",33333,"High School"
"748",11111,"High School"
"749",18519,"Lt High School"
"750",3704,"Lt High School"
"752",3704,"Lt High School"
"754",41667,"Lt High School"
"755",11111,"Lt High School"
"756",18519,"Lt High School"
"757",41667,"High School"
"758",25926,"Lt High School"
"760",60185,"Lt High School"
"761",50926,"High School"
"762",41667,"High School"
"763",50926,"High School"
"764",25926,"High School"
"765",18519,"High School"
"766",50926,"High School"
"767",25926,"Lt High School"
"768",25926,"Lt High School"
"769",41667,"High School"
"770",33333,"Lt High School"
"771",69444,"Lt High School"
"772",41667,"High School"
"773",41667,"High School"
"774",41667,"Lt High School"
"775",18519,"Bachelor"
"776",83333,"High School"
"777",69444,"High School"
"778",3704,"Lt High School"
"779",41667,"Lt High School"
"780",50926,"Bachelor"
"782",60185,"High School"
"783",33333,"High School"
"784",25926,"Lt High School"
"785",11111,"High School"
"786",33333,"High School"
"787",11111,"High School"
"788",3704,"Lt High School"
"789",18519,"High School"
"790",11111,"Lt High School"
"791",33333,"High School"
"792",33333,"High School"
"793",60185,"High School"
"794",60185,"High School"
"795",101852,"Graduate"
"796",50926,"Bachelor"
"798",50926,"High School"
"799",50926,"High School"
"800",69444,"High School"
"801",60185,"High School"
"805",3704,"High School"
"806",33333,"High School"
"807",3704,"Lt High School"
"808",11111,"High School"
"810",50926,"Junior College"
"811",69444,"High School"
"812",41667,"Lt High School"
"813",41667,"High School"
"814",41667,"High School"
"815",50926,"High School"
"816",33333,"High School"
"817",83333,"High School"
"818",41667,"Lt High School"
"819",25926,"Lt High School"
"820",25926,"Lt High School"
"821",50926,"Lt High School"
"822",25926,"High School"
"823",3704,"Lt High School"
"824",33333,"Lt High School"
"825",25926,"High School"
"826",33333,"Lt High School"
"827",41667,"Lt High School"
"828",83333,"High School"
"829",83333,"High School"
"830",50926,"Junior College"
"831",50926,"Junior College"
"833",41667,"Bachelor"
"834",33333,"Bachelor"
"835",60185,"High School"
"838",11111,"Lt High School"
"839",41667,"High School"
"840",3704,"Lt High School"
"841",83333,"Graduate"
"842",60185,"Graduate"
"843",50926,"High School"
"844",25926,"High School"
"845",50926,"High School"
"846",50926,"High School"
"848",18519,"Graduate"
"849",50926,"Bachelor"
"850",41667,"High School"
"854",18519,"Lt High School"
"855",33333,"High School"
"856",69444,"Bachelor"
"860",33333,"High School"
"861",41667,"High School"
"863",60185,"Lt High School"
"864",83333,"Lt High School"
"866",60185,"High School"
"867",41667,"High School"
"868",130356,"Bachelor"
"869",101852,"High School"
"870",83333,"High School"
"871",130356,"High School"
"872",18519,"Lt High School"
"873",50926,"Bachelor"
"876",41667,"High School"
"877",33333,"High School"
"878",11111,"Lt High School"
"879",25926,"Lt High School"
"880",41667,"Lt High School"
"881",50926,"Lt High School"
"882",50926,"Lt High School"
"884",18519,"High School"
"885",11111,"High School"
"886",33333,"Lt High School"
"887",60185,"High School"
"888",18519,"High School"
"890",18519,"High School"
"891",11111,"High School"
"892",11111,"Lt High School"
"893",18519,"Lt High School"
"894",11111,"Lt High School"
"895",41667,"Graduate"
"896",25926,"High School"
"897",33333,"Graduate"
"899",50926,"High School"
"900",41667,"High School"
"901",33333,"High School"
"902",18519,"High School"
"903",25926,"Lt High School"
"904",50926,"Lt High School"
"905",41667,"Lt High School"
"907",18519,"High School"
"908",3704,"High School"
"909",25926,"Bachelor"
"910",41667,"High School"
"911",11111,"Lt High School"
"912",25926,"Lt High School"
"913",11111,"Lt High School"
"914",33333,"High School"
"915",41667,"High School"
"917",41667,"High School"
"918",33333,"High School"
"919",11111,"Lt High School"
"920",33333,"High School"
"921",33333,"Lt High School"
"922",60185,"Graduate"
"923",33333,"Junior College"
"924",11111,"Lt High School"
"925",18519,"Lt High School"
"927",25926,"High School"
"928",60185,"High School"
"929",50926,"Lt High School"
"930",25926,"Lt High School"
"931",33333,"Lt High School"
"932",25926,"High School"
"933",11111,"Lt High School"
"934",33333,"High School"
"935",101852,"High School"
"936",41667,"Lt High School"
"937",33333,"Lt High School"
"938",33333,"Lt High School"
"939",18519,"Lt High School"
"940",3704,"Lt High School"
"941",3704,"Lt High School"
"942",11111,"High School"
"943",11111,"Lt High School"
"944",18519,"Lt High School"
"945",18519,"Lt High School"
"946",60185,"High School"
"947",33333,"High School"
"948",11111,"Bachelor"
"949",69444,"Graduate"
"950",25926,"High School"
"951",33333,"High School"
"952",18519,"High School"
"953",18519,"High School"
"954",33333,"High School"
"955",41667,"Lt High School"
"956",25926,"Lt High School"
"957",3704,"Lt High School"
"958",18519,"Lt High School"
"959",11111,"Lt High School"
"960",3704,"High School"
"961",33333,"High School"
"962",11111,"High School"
"963",11111,"Bachelor"
"964",60185,"Bachelor"
"965",101852,"Graduate"
"966",33333,"High School"
"967",33333,"High School"
"968",41667,"High School"
"969",130356,"Graduate"
"970",101852,"Graduate"
"971",11111,"High School"
"972",33333,"Lt High School"
"973",60185,"Bachelor"
"974",41667,"High School"
"975",33333,"High School"
"976",50926,"Lt High School"
"977",101852,"Junior College"
"978",41667,"High School"
"979",60185,"High School"
"980",41667,"Lt High School"
"981",41667,"High School"
"985",18519,"High School"
"986",33333,"High School"
"988",3704,"Lt High School"
"989",60185,"Bachelor"
"991",11111,"High School"
"992",50926,"High School"
"993",69444,"High School"
"994",41667,"Lt High School"
"995",11111,"Lt High School"
"996",3704,"Lt High School"
"997",25926,"High School"
"999",3704,"High School"
"1000",11111,"Lt High School"
"1001",3704,"Lt High School"
"1002",33333,"High School"
"1003",3704,"Lt High School"
"1004",50926,"High School"
"1005",25926,"High School"
"1006",18519,"High School"
"1007",41667,"High School"
"1008",69444,"High School"
"1009",33333,"High School"
"1010",25926,"High School"
"1011",50926,"High School"
"1012",50926,"High School"
"1013",50926,"High School"
"1014",41667,"Lt High School"
"1015",33333,"High School"
"1016",130356,"High School"
"1017",11111,"High School"
"1018",25926,"High School"
"1019",18519,"High School"
"1020",18519,"High School"
"1021",18519,"Lt High School"
"1022",60185,"Bachelor"
"1023",33333,"High School"
"1024",41667,"Lt High School"
"1025",41667,"Lt High School"
"1026",83333,"High School"
"1027",18519,"High School"
"1028",41667,"High School"
"1029",18519,"High School"
"1030",50926,"High School"
"1031",11111,"Lt High School"
"1032",33333,"Lt High School"
"1033",41667,"Lt High School"
"1034",41667,"Lt High School"
"1035",25926,"Lt High School"
"1036",50926,"Lt High School"
"1037",18519,"Lt High School"
"1038",33333,"High School"
"1039",50926,"High School"
"1040",69444,"High School"
"1041",33333,"High School"
"1042",41667,"High School"
"1043",18519,"High School"
"1044",69444,"High School"
"1045",33333,"High School"
"1046",25926,"Lt High School"
"1047",25926,"Lt High School"
"1049",41667,"High School"
"1051",18519,"Lt High School"
"1052",18519,"Lt High School"
"1055",33333,"Bachelor"
"1056",18519,"High School"
"1057",33333,"High School"
"1058",41667,"High School"
"1059",41667,"Bachelor"
"1060",41667,"Lt High School"
"1061",60185,"High School"
"1063",41667,"Lt High School"
"1064",25926,"High School"
"1066",33333,"High School"
"1067",50926,"High School"
"1068",18519,"High School"
"1069",130356,"Bachelor"
"1070",18519,"High School"
"1071",11111,"High School"
"1072",11111,"Lt High School"
"1073",33333,"High School"
"1074",25926,"Lt High School"
"1075",3704,"High School"
"1076",101852,"High School"
"1077",50926,"High School"
"1078",33333,"High School"
"1079",50926,"High School"
"1082",41667,"High School"
"1083",50926,"Graduate"
"1084",41667,"High School"
"1085",101852,"Graduate"
"1086",101852,"Bachelor"
"1089",33333,"High School"
"1091",69444,"Bachelor"
"1093",60185,"Bachelor"
"1094",83333,"Graduate"
"1095",25926,"High School"
"1096",69444,"Bachelor"
"1097",130356,"High School"
"1098",83333,"High School"
"1099",83333,"High School"
"1100",101852,"High School"
"1101",130356,"Lt High School"
"1102",130356,"Graduate"
"1103",50926,"High School"
"1104",50926,"High School"
"1105",41667,"Lt High School"
"1106",18519,"High School"
"1107",69444,"High School"
"1108",41667,"Lt High School"
"1109",33333,"High School"
"1111",41667,"Lt High School"
"1112",11111,"High School"
"1113",18519,"High School"
"1114",25926,"High School"
"1115",11111,"Lt High School"
"1116",3704,"Lt High School"
"1117",41667,"High School"
"1118",11111,"Lt High School"
"1119",41667,"Lt High School"
"1121",25926,"High School"
"1122",25926,"Lt High School"
"1123",41667,"Lt High School"
"1124",3704,"Lt High School"
"1125",11111,"Lt High School"
"1127",33333,"High School"
"1128",33333,"High School"
"1129",11111,"Lt High School"
"1130",25926,"High School"
"1131",41667,"High School"
"1132",60185,"High School"
"1133",69444,"Lt High School"
"1134",60185,"Bachelor"
"1135",25926,"High School"
"1136",41667,"High School"
"1138",18519,"High School"
"1139",69444,"High School"
"1140",25926,"High School"
"1141",41667,"Bachelor"
"1142",41667,"High School"
"1143",69444,"High School"
"1144",83333,"High School"
"1145",60185,"Lt High School"
"1146",41667,"High School"
"1147",60185,"High School"
"1148",41667,"High School"
"1149",41667,"Junior College"
"1150",33333,"High School"
"1151",41667,"High School"
"1152",41667,"Bachelor"
"1153",83333,"Lt High School"
"1154",60185,"High School"
"1155",50926,"Bachelor"
"1156",60185,"Bachelor"
"1157",11111,"Lt High School"
"1158",60185,"Bachelor"
"1159",33333,"High School"
"1161",50926,"High School"
"1162",69444,"Bachelor"
"1164",69444,"Bachelor"
"1167",11111,"Lt High School"
"1169",11111,"Lt High School"
"1170",11111,"Lt High School"
"1171",3704,"Lt High School"
"1173",101852,"High School"
"1174",33333,"High School"
"1175",18519,"High School"
"1176",41667,"High School"
"1178",50926,"Bachelor"
"1179",33333,"Lt High School"
"1181",33333,"Lt High School"
"1182",101852,"Lt High School"
"1184",11111,"Lt High School"
"1185",33333,"Lt High School"
"1186",11111,"Lt High School"
"1187",33333,"Lt High School"
"1189",25926,"Lt High School"
"1190",11111,"Lt High School"
"1191",33333,"High School"
"1192",11111,"Lt High School"
"1193",11111,"Lt High School"
"1194",25926,"Bachelor"
"1195",11111,"Lt High School"
"1196",11111,"Lt High School"
"1197",50926,"Bachelor"
"1198",33333,"Lt High School"
"1199",69444,"High School"
"1200",3704,"Lt High School"
"1201",18519,"Lt High School"
"1202",69444,"Bachelor"
"1203",101852,"High School"
"1204",41667,"High School"
"1205",18519,"Lt High School"
"1206",11111,"Lt High School"
"1207",25926,"High School"
"1208",11111,"Lt High School"
"1209",50926,"Lt High School"
"1210",33333,"Lt High School"
"1212",33333,"Lt High School"
"1213",25926,"High School"
"1214",25926,"Lt High School"
"1216",11111,"High School"
"1217",33333,"Lt High School"
"1218",25926,"Lt High School"
"1220",25926,"High School"
"1221",50926,"Bachelor"
"1222",33333,"Lt High School"
"1223",41667,"High School"
"1224",25926,"Junior College"
"1225",11111,"Lt High School"
"1226",25926,"High School"
"1227",11111,"High School"
"1228",25926,"Lt High School"
"1229",3704,"Lt High School"
"1230",3704,"Lt High School"
"1231",11111,"Lt High School"
"1232",25926,"Lt High School"
"1233",33333,"High School"
"1234",69444,"High School"
"1237",83333,"Graduate"
"1238",60185,"Junior College"
"1239",50926,"Lt High School"
