"","Family_Income","Degree"
"4618",38414,"High School"
"4619",19975,"Lt High School"
"4620",38414,"High School"
"4621",53780,"High School"
"4623",38414,"High School"
"4624",53780,"High School"
"4625",27658,"High School"
"4626",38414,"Lt High School"
"4627",13829,"Lt High School"
"4628",69146,"Lt High School"
"4629",38414,"Graduate"
"4630",38414,"High School"
"4631",98190,"Graduate"
"4632",98190,"High School"
"4633",53780,"Graduate"
"4634",53780,"High School"
"4635",23049,"Lt High School"
"4636",38414,"Lt High School"
"4637",10756,"Lt High School"
"4638",38414,"High School"
"4639",10756,"High School"
"4640",53780,"High School"
"4641",13829,"High School"
"4642",38414,"Lt High School"
"4643",38414,"Lt High School"
"4644",38414,"High School"
"4645",27658,"High School"
"4646",38414,"High School"
"4647",19975,"High School"
"4648",38414,"Lt High School"
"4649",13829,"Lt High School"
"4650",27658,"Lt High School"
"4651",6146,"Lt High School"
"4652",13829,"Lt High School"
"4653",23049,"High School"
"4655",98190,"Lt High School"
"4656",13829,"Bachelor"
"4657",98190,"High School"
"4658",98190,"Junior College"
"4659",53780,"High School"
"4660",38414,"Bachelor"
"4661",69146,"High School"
"4662",53780,"Graduate"
"4663",16902,"High School"
"4666",10756,"Lt High School"
"4667",27658,"Lt High School"
"4668",27658,"High School"
"4669",53780,"High School"
"4670",53780,"High School"
"4671",53780,"High School"
"4672",53780,"High School"
"4673",27658,"Bachelor"
"4674",53780,"Bachelor"
"4675",23049,"Bachelor"
"4676",38414,"High School"
"4677",69146,"Lt High School"
"4678",69146,"Bachelor"
"4680",53780,"High School"
"4681",23049,"High School"
"4682",10756,"Lt High School"
"4683",38414,"Bachelor"
"4684",38414,"Lt High School"
"4685",19975,"Lt High School"
"4686",53780,"High School"
"4687",38414,"High School"
"4688",23049,"Lt High School"
"4689",53780,"High School"
"4690",53780,"High School"
"4691",53780,"High School"
"4692",69146,"High School"
"4693",69146,"High School"
"4694",69146,"Lt High School"
"4695",38414,"High School"
"4696",38414,"Junior College"
"4697",53780,"Lt High School"
"4698",69146,"Lt High School"
"4699",23049,"Lt High School"
"4700",38414,"High School"
"4701",19975,"High School"
"4702",27658,"High School"
"4703",69146,"High School"
"4704",38414,"Lt High School"
"4706",38414,"Lt High School"
"4707",27658,"Graduate"
"4708",38414,"Lt High School"
"4709",38414,"High School"
"4710",69146,"Lt High School"
"4711",53780,"High School"
"4712",38414,"High School"
"4713",38414,"High School"
"4714",53780,"High School"
"4715",98190,"High School"
"4716",98190,"High School"
"4717",13829,"High School"
"4718",23049,"High School"
"4719",38414,"High School"
"4720",98190,"High School"
"4723",38414,"Lt High School"
"4724",53780,"Lt High School"
"4726",27658,"High School"
"4727",53780,"Graduate"
"4728",53780,"Lt High School"
"4729",38414,"High School"
"4730",38414,"Lt High School"
"4731",69146,"High School"
"4732",38414,"High School"
"4733",98190,"Bachelor"
"4734",27658,"High School"
"4735",23049,"High School"
"4736",38414,"Graduate"
"4737",53780,"Graduate"
"4738",27658,"High School"
"4739",19975,"Lt High School"
"4740",53780,"High School"
"4741",69146,"Bachelor"
"4742",69146,"High School"
"4744",98190,"High School"
"4745",38414,"High School"
"4746",27658,"High School"
"4747",16902,"High School"
"4748",98190,"High School"
"4749",38414,"High School"
"4750",27658,"Lt High School"
"4751",38414,"High School"
"4752",16902,"High School"
"4753",69146,"High School"
"4754",38414,"High School"
"4755",53780,"High School"
"4756",27658,"High School"
"4757",10756,"High School"
"4758",69146,"Bachelor"
"4759",16902,"Lt High School"
"4760",98190,"High School"
"4761",98190,"Bachelor"
"4762",98190,"High School"
"4763",98190,"Bachelor"
"4764",69146,"Graduate"
"4765",69146,"High School"
"4766",13829,"Lt High School"
"4767",38414,"Lt High School"
"4768",38414,"High School"
"4769",27658,"High School"
"4770",38414,"Lt High School"
"4771",69146,"High School"
"4772",69146,"High School"
"4773",27658,"High School"
"4774",38414,"High School"
"4775",53780,"High School"
"4776",23049,"High School"
"4777",53780,"High School"
"4778",53780,"High School"
"4779",38414,"Lt High School"
"4780",13829,"High School"
"4781",38414,"Bachelor"
"4782",10756,"Lt High School"
"4783",53780,"Lt High School"
"4784",10756,"Lt High School"
"4785",6146,"High School"
"4788",23049,"Junior College"
"4789",6146,"Lt High School"
"4790",19975,"High School"
"4791",98190,"Lt High School"
"4792",6146,"Bachelor"
"4794",98190,"High School"
"4795",69146,"Bachelor"
"4796",69146,"High School"
"4797",98190,"Bachelor"
"4798",13829,"Lt High School"
"4799",13829,"High School"
"4800",23049,"Bachelor"
"4801",19975,"Lt High School"
"4802",38414,"Lt High School"
"4803",38414,"High School"
"4804",98190,"High School"
"4805",38414,"Lt High School"
"4806",38414,"Lt High School"
"4807",23049,"Bachelor"
"4808",10756,"High School"
"4809",38414,"High School"
"4810",6146,"High School"
"4811",10756,"Lt High School"
"4812",27658,"Lt High School"
"4813",13829,"High School"
"4814",38414,"Lt High School"
"4816",98190,"High School"
"4817",27658,"High School"
"4818",6146,"Bachelor"
"4819",13829,"Bachelor"
"4820",69146,"Graduate"
"4821",98190,"Bachelor"
"4822",98190,"High School"
"4823",98190,"High School"
"4824",69146,"Bachelor"
"4825",98190,"High School"
"4826",98190,"Bachelor"
"4827",98190,"Junior College"
"4829",6146,"High School"
"4830",38414,"High School"
"4831",6146,"High School"
"4832",69146,"High School"
"4833",38414,"High School"
"4834",6146,"Lt High School"
"4835",19975,"High School"
"4837",6146,"Lt High School"
"4838",10756,"High School"
"4839",38414,"Lt High School"
"4840",19975,"Lt High School"
"4843",6146,"Lt High School"
"4844",19975,"High School"
"4845",13829,"High School"
"4847",6146,"Lt High School"
"4848",13829,"Lt High School"
"4849",1537,"Lt High School"
"4850",10756,"Lt High School"
"4851",23049,"Lt High School"
"4852",38414,"High School"
"4854",38414,"High School"
"4855",23049,"Junior College"
"4856",38414,"High School"
"4857",53780,"High School"
"4858",23049,"Junior College"
"4859",10756,"Bachelor"
"4860",6146,"Lt High School"
"4861",19975,"Lt High School"
"4862",19975,"High School"
"4863",13829,"High School"
"4864",53780,"High School"
"4865",53780,"Junior College"
"4866",6146,"High School"
"4867",16902,"Lt High School"
"4868",27658,"High School"
"4869",1537,"Lt High School"
"4870",1537,"High School"
"4871",69146,"Bachelor"
"4872",38414,"Bachelor"
"4874",53780,"High School"
"4875",98190,"Lt High School"
"4877",6146,"High School"
"4878",27658,"Lt High School"
"4879",16902,"Lt High School"
"4880",6146,"High School"
"4881",6146,"Lt High School"
"4882",10756,"High School"
"4883",53780,"High School"
"4884",38414,"Bachelor"
"4885",19975,"Bachelor"
"4886",10756,"High School"
"4888",53780,"High School"
"4889",27658,"High School"
"4890",38414,"Lt High School"
"4891",98190,"Graduate"
"4892",38414,"Bachelor"
"4893",27658,"Lt High School"
"4894",27658,"High School"
"4895",38414,"High School"
"4896",38414,"High School"
"4897",38414,"High School"
"4898",69146,"High School"
"4899",69146,"Bachelor"
"4900",19975,"Lt High School"
"4901",1537,"Junior College"
"4902",6146,"High School"
"4903",53780,"Bachelor"
"4904",69146,"High School"
"4905",53780,"High School"
"4906",53780,"Junior College"
"4907",38414,"High School"
"4908",38414,"Lt High School"
"4909",6146,"Lt High School"
"4910",38414,"High School"
"4911",6146,"Lt High School"
"4912",27658,"High School"
"4913",10756,"High School"
"4914",6146,"Lt High School"
"4915",38414,"High School"
"4916",6146,"High School"
"4917",53780,"High School"
"4918",38414,"Lt High School"
"4921",98190,"High School"
"4922",98190,"Graduate"
"4923",53780,"Bachelor"
"4924",38414,"High School"
"4925",53780,"Lt High School"
"4926",98190,"High School"
"4927",38414,"Bachelor"
"4928",13829,"Lt High School"
"4929",98190,"High School"
"4930",98190,"Bachelor"
"4931",38414,"High School"
"4933",38414,"High School"
"4934",38414,"High School"
"4935",53780,"High School"
"4936",19975,"Bachelor"
"4937",69146,"High School"
"4938",6146,"High School"
"4939",27658,"High School"
"4940",98190,"Graduate"
"4941",98190,"High School"
"4942",38414,"High School"
"4943",27658,"High School"
"4944",53780,"Lt High School"
"4945",53780,"High School"
"4946",6146,"Lt High School"
"4947",16902,"High School"
"4948",53780,"Bachelor"
"4949",98190,"High School"
"4950",69146,"High School"
"4951",98190,"High School"
"4954",13829,"Lt High School"
"4955",13829,"Lt High School"
"4956",38414,"High School"
"4957",6146,"Lt High School"
"4958",6146,"High School"
"4960",38414,"High School"
"4961",38414,"High School"
"4962",27658,"Lt High School"
"4963",27658,"High School"
"4964",27658,"High School"
"4965",6146,"Lt High School"
"4966",38414,"Lt High School"
"4967",19975,"Lt High School"
"4969",38414,"High School"
"4970",53780,"Lt High School"
"4971",98190,"Graduate"
"4972",53780,"Graduate"
"4976",13829,"High School"
"4977",38414,"Bachelor"
"4978",16902,"Graduate"
"4979",38414,"High School"
"4980",13829,"Lt High School"
"4982",53780,"High School"
"4983",19975,"Lt High School"
"4984",1537,"Lt High School"
"4985",53780,"High School"
"4986",38414,"High School"
"4987",98190,"High School"
"4988",16902,"High School"
"4989",16902,"High School"
"4990",53780,"High School"
"4991",27658,"Lt High School"
"4992",38414,"High School"
"4993",38414,"Lt High School"
"4995",69146,"High School"
"4996",38414,"High School"
"4997",13829,"High School"
"4998",38414,"Lt High School"
"4999",53780,"High School"
"5000",98190,"Lt High School"
"5001",23049,"High School"
"5003",98190,"High School"
"5004",38414,"High School"
"5005",16902,"High School"
"5006",1537,"High School"
"5007",19975,"Junior College"
"5008",16902,"High School"
"5009",16902,"Bachelor"
"5010",69146,"High School"
"5011",27658,"Lt High School"
"5012",27658,"High School"
"5013",53780,"High School"
"5014",16902,"High School"
"5015",53780,"High School"
"5016",53780,"High School"
"5017",19975,"Lt High School"
"5019",23049,"High School"
"5020",38414,"Lt High School"
"5021",27658,"Lt High School"
"5022",23049,"High School"
"5023",53780,"High School"
"5024",19975,"Lt High School"
"5025",27658,"High School"
"5026",98190,"High School"
"5027",16902,"Lt High School"
"5028",19975,"High School"
"5030",38414,"Graduate"
"5031",69146,"High School"
"5032",16902,"Lt High School"
"5033",6146,"Lt High School"
"5034",1537,"High School"
"5036",38414,"Lt High School"
"5037",6146,"Lt High School"
"5038",38414,"High School"
"5039",10756,"Lt High School"
"5040",38414,"Lt High School"
"5041",38414,"High School"
"5042",10756,"High School"
"5043",38414,"High School"
"5044",23049,"High School"
"5045",38414,"Lt High School"
"5046",23049,"Lt High School"
"5047",38414,"Lt High School"
"5048",10756,"High School"
"5049",69146,"Lt High School"
"5050",38414,"High School"
"5051",38414,"High School"
"5052",53780,"Lt High School"
"5053",98190,"Bachelor"
"5054",10756,"Lt High School"
"5055",38414,"High School"
"5056",19975,"High School"
"5057",10756,"High School"
"5058",10756,"Lt High School"
"5060",13829,"Lt High School"
"5061",19975,"Bachelor"
"5062",53780,"Bachelor"
"5063",53780,"High School"
"5064",19975,"High School"
"5065",1537,"Lt High School"
"5066",27658,"Lt High School"
"5067",53780,"High School"
"5068",13829,"Lt High School"
"5069",6146,"Lt High School"
"5070",38414,"Lt High School"
"5071",38414,"Lt High School"
"5072",27658,"Lt High School"
"5073",98190,"Bachelor"
"5074",53780,"Lt High School"
"5075",23049,"Lt High School"
"5076",16902,"Lt High School"
"5077",13829,"High School"
"5078",13829,"Lt High School"
"5080",38414,"Lt High School"
"5081",10756,"Lt High School"
"5082",6146,"Lt High School"
"5083",38414,"High School"
"5084",27658,"High School"
"5085",38414,"High School"
"5086",23049,"Junior College"
"5087",6146,"High School"
"5088",38414,"Bachelor"
"5089",23049,"High School"
"5090",69146,"Bachelor"
"5091",98190,"Lt High School"
"5092",53780,"High School"
"5093",53780,"High School"
"5094",53780,"High School"
"5095",69146,"Lt High School"
"5096",69146,"Lt High School"
"5098",10756,"High School"
"5099",38414,"High School"
"5100",38414,"Graduate"
"5101",98190,"High School"
"5102",98190,"Lt High School"
"5103",69146,"Bachelor"
"5104",53780,"High School"
"5105",53780,"High School"
"5106",38414,"High School"
"5107",69146,"High School"
"5108",16902,"High School"
"5109",53780,"High School"
"5110",53780,"High School"
"5111",38414,"High School"
"5112",10756,"High School"
"5113",69146,"High School"
"5114",53780,"High School"
"5115",53780,"High School"
"5116",38414,"Bachelor"
"5117",98190,"High School"
"5118",38414,"Lt High School"
"5119",53780,"Graduate"
"5122",38414,"Lt High School"
"5123",53780,"Lt High School"
"5125",38414,"High School"
"5126",6146,"Lt High School"
"5128",23049,"High School"
"5129",27658,"High School"
"5131",69146,"High School"
"5132",27658,"High School"
"5133",98190,"High School"
"5134",69146,"High School"
"5135",98190,"Bachelor"
"5136",69146,"Bachelor"
"5137",38414,"Lt High School"
"5138",53780,"High School"
"5139",98190,"Bachelor"
"5140",69146,"High School"
"5142",53780,"Lt High School"
"5143",38414,"High School"
"5144",98190,"High School"
"5146",38414,"Bachelor"
"5148",53780,"High School"
"5149",53780,"Bachelor"
"5150",38414,"High School"
"5151",53780,"Lt High School"
"5152",53780,"High School"
"5153",27658,"Lt High School"
"5154",53780,"High School"
"5155",10756,"High School"
"5156",53780,"Lt High School"
"5157",69146,"High School"
"5158",69146,"High School"
"5159",98190,"Graduate"
"5160",98190,"Bachelor"
"5161",98190,"Bachelor"
"5162",53780,"Lt High School"
"5163",53780,"High School"
"5164",27658,"High School"
"5165",38414,"Lt High School"
"5166",69146,"High School"
"5167",38414,"High School"
"5168",38414,"Graduate"
"5169",38414,"High School"
"5170",53780,"High School"
"5171",19975,"High School"
"5172",27658,"High School"
"5173",27658,"Junior College"
"5174",6146,"High School"
"5175",13829,"High School"
"5176",38414,"Lt High School"
"5177",27658,"Lt High School"
"5179",38414,"Bachelor"
"5180",13829,"Lt High School"
"5181",10756,"Lt High School"
"5182",6146,"Lt High School"
"5183",6146,"Lt High School"
"5184",98190,"Lt High School"
"5185",38414,"High School"
"5186",38414,"High School"
"5187",38414,"Lt High School"
"5188",69146,"Graduate"
"5190",38414,"High School"
"5191",38414,"Graduate"
"5192",38414,"High School"
"5193",98190,"High School"
"5194",98190,"High School"
"5195",53780,"Bachelor"
"5196",13829,"Bachelor"
"5197",38414,"Bachelor"
"5198",38414,"Bachelor"
"5199",38414,"Graduate"
"5200",98190,"Lt High School"
"5201",27658,"High School"
"5202",19975,"High School"
"5203",13829,"Lt High School"
"5204",69146,"High School"
"5205",38414,"High School"
"5206",38414,"Lt High School"
"5207",38414,"High School"
"5208",23049,"High School"
"5209",53780,"High School"
"5211",1537,"Lt High School"
"5212",1537,"Lt High School"
"5213",13829,"Lt High School"
"5214",6146,"High School"
"5215",16902,"Lt High School"
"5218",16902,"Lt High School"
"5219",6146,"Lt High School"
"5221",13829,"Lt High School"
"5222",27658,"High School"
"5223",98190,"Graduate"
"5225",6146,"Lt High School"
"5226",23049,"Lt High School"
"5227",27658,"Bachelor"
"5228",10756,"Bachelor"
"5229",38414,"Bachelor"
"5230",19975,"Bachelor"
"5231",69146,"Bachelor"
"5232",69146,"High School"
"5233",13829,"High School"
"5234",69146,"Junior College"
"5235",98190,"High School"
"5237",69146,"Bachelor"
"5238",13829,"Junior College"
"5239",98190,"Bachelor"
"5240",27658,"High School"
"5241",38414,"Bachelor"
"5242",16902,"Lt High School"
"5243",53780,"Lt High School"
"5244",19975,"Junior College"
"5245",10756,"High School"
"5246",10756,"High School"
"5247",13829,"Lt High School"
"5248",10756,"Lt High School"
"5249",16902,"Lt High School"
"5250",6146,"High School"
"5251",27658,"Bachelor"
"5252",1537,"Bachelor"
"5253",13829,"High School"
"5254",98190,"Bachelor"
"5255",98190,"Bachelor"
"5256",38414,"Lt High School"
"5257",38414,"High School"
"5258",69146,"High School"
"5259",38414,"High School"
"5260",38414,"Lt High School"
"5261",19975,"High School"
"5262",38414,"High School"
"5263",10756,"High School"
"5264",6146,"High School"
"5265",6146,"High School"
"5266",38414,"Lt High School"
"5267",53780,"High School"
"5268",69146,"High School"
"5269",10756,"Lt High School"
"5270",98190,"High School"
"5271",38414,"High School"
"5272",23049,"High School"
"5273",19975,"High School"
"5274",13829,"High School"
"5275",53780,"High School"
"5276",10756,"Lt High School"
"5277",38414,"High School"
"5278",27658,"Lt High School"
"5279",38414,"High School"
"5280",69146,"Lt High School"
"5281",38414,"High School"
"5282",1537,"Lt High School"
"5283",53780,"High School"
"5284",69146,"High School"
"5285",53780,"High School"
"5286",38414,"Lt High School"
"5288",38414,"High School"
"5289",53780,"Bachelor"
"5291",13829,"Lt High School"
"5292",38414,"High School"
"5293",38414,"High School"
"5294",53780,"High School"
"5295",10756,"High School"
"5296",10756,"Lt High School"
"5297",38414,"Lt High School"
"5298",38414,"Bachelor"
"5299",53780,"High School"
"5300",38414,"High School"
"5301",16902,"Lt High School"
"5302",6146,"Lt High School"
"5303",13829,"Lt High School"
"5304",10756,"Lt High School"
"5305",38414,"High School"
"5306",27658,"High School"
"5307",16902,"High School"
"5308",53780,"High School"
"5309",38414,"High School"
"5310",27658,"High School"
"5311",19975,"Lt High School"
"5312",27658,"High School"
"5313",98190,"Lt High School"
"5314",38414,"High School"
"5315",23049,"Lt High School"
"5316",38414,"High School"
"5317",6146,"Lt High School"
"5318",19975,"High School"
"5319",38414,"Lt High School"
"5320",98190,"High School"
"5322",38414,"High School"
"5323",23049,"Lt High School"
"5325",13829,"Lt High School"
"5326",13829,"High School"
"5327",6146,"Lt High School"
"5328",10756,"High School"
"5329",69146,"High School"
"5330",13829,"High School"
"5331",69146,"Junior College"
"5332",53780,"Bachelor"
"5333",6146,"High School"
"5334",10756,"High School"
"5335",38414,"High School"
"5336",23049,"Lt High School"
"5337",69146,"High School"
"5338",38414,"High School"
"5340",13829,"High School"
"5341",38414,"High School"
"5342",6146,"Lt High School"
"5343",16902,"Lt High School"
"5344",27658,"High School"
"5345",16902,"Lt High School"
"5346",69146,"Lt High School"
"5347",6146,"High School"
"5348",53780,"High School"
"5349",27658,"High School"
"5350",98190,"High School"
"5351",6146,"Lt High School"
"5352",53780,"High School"
"5353",69146,"Bachelor"
"5354",10756,"Bachelor"
"5355",98190,"High School"
"5357",6146,"Lt High School"
"5358",53780,"High School"
"5359",27658,"High School"
"5360",27658,"High School"
"5361",16902,"Lt High School"
"5362",23049,"Lt High School"
"5363",16902,"Lt High School"
"5364",19975,"Bachelor"
"5365",13829,"High School"
"5366",38414,"Bachelor"
"5367",38414,"Lt High School"
"5368",53780,"High School"
"5369",27658,"High School"
"5370",16902,"Lt High School"
"5371",98190,"High School"
"5372",10756,"High School"
"5373",53780,"High School"
"5374",27658,"Lt High School"
"5375",10756,"Lt High School"
"5376",38414,"High School"
"5377",16902,"High School"
"5378",16902,"High School"
"5379",27658,"High School"
"5380",16902,"Lt High School"
"5381",16902,"Lt High School"
"5382",38414,"Lt High School"
"5383",53780,"Lt High School"
"5384",27658,"High School"
"5385",38414,"High School"
"5387",16902,"High School"
"5388",19975,"Lt High School"
"5389",19975,"High School"
"5390",10756,"Lt High School"
"5391",13829,"High School"
"5392",23049,"Lt High School"
"5393",6146,"Lt High School"
"5394",1537,"Lt High School"
"5395",27658,"Lt High School"
"5397",38414,"High School"
"5398",38414,"High School"
"5399",38414,"High School"
"5400",38414,"High School"
"5401",38414,"High School"
"5402",6146,"Lt High School"
"5404",6146,"Lt High School"
"5405",27658,"Bachelor"
"5406",38414,"Graduate"
"5407",38414,"Lt High School"
"5408",38414,"High School"
"5409",16902,"High School"
"5410",69146,"Lt High School"
"5411",53780,"High School"
"5412",38414,"Lt High School"
"5413",69146,"High School"
"5414",13829,"High School"
"5415",38414,"High School"
"5417",6146,"Lt High School"
"5418",27658,"High School"
"5419",38414,"High School"
"5420",69146,"Lt High School"
"5421",53780,"High School"
"5422",13829,"High School"
"5423",23049,"High School"
"5424",69146,"High School"
"5425",38414,"Lt High School"
"5426",38414,"Graduate"
"5427",38414,"High School"
"5428",10756,"High School"
"5429",53780,"High School"
"5430",38414,"Bachelor"
"5431",27658,"High School"
"5432",27658,"High School"
"5433",10756,"Lt High School"
"5434",38414,"High School"
"5435",10756,"High School"
"5436",6146,"Lt High School"
"5437",38414,"Lt High School"
"5438",69146,"High School"
"5439",27658,"High School"
"5440",19975,"Lt High School"
"5441",27658,"High School"
"5442",98190,"Graduate"
"5443",98190,"Bachelor"
"5444",98190,"High School"
"5445",98190,"Bachelor"
"5446",53780,"High School"
"5447",98190,"Graduate"
"5448",98190,"Bachelor"
"5449",98190,"Bachelor"
"5450",98190,"High School"
"5451",53780,"High School"
"5452",19975,"Lt High School"
"5454",13829,"High School"
"5455",10756,"Lt High School"
"5456",16902,"Lt High School"
"5457",27658,"Lt High School"
"5458",38414,"Graduate"
"5459",38414,"Lt High School"
"5460",10756,"High School"
"5461",38414,"High School"
"5462",53780,"Lt High School"
"5463",10756,"Lt High School"
"5464",53780,"High School"
"5465",53780,"High School"
"5466",69146,"Lt High School"
"5467",53780,"High School"
"5468",16902,"Lt High School"
"5469",6146,"High School"
"5470",27658,"Bachelor"
"5471",10756,"Lt High School"
"5472",38414,"Bachelor"
"5473",38414,"High School"
"5474",16902,"Lt High School"
"5475",6146,"High School"
"5476",27658,"Lt High School"
"5478",38414,"Lt High School"
"5479",38414,"Lt High School"
"5480",53780,"High School"
"5482",53780,"High School"
"5483",38414,"High School"
"5484",53780,"High School"
"5485",16902,"Lt High School"
"5486",38414,"Bachelor"
"5487",38414,"Lt High School"
"5488",53780,"High School"
"5489",98190,"Lt High School"
"5490",69146,"Graduate"
"5491",38414,"High School"
"5492",19975,"Lt High School"
"5493",53780,"Bachelor"
"5495",53780,"Junior College"
"5496",13829,"Lt High School"
"5497",10756,"Lt High School"
"5498",38414,"Lt High School"
"5499",53780,"Junior College"
"5500",38414,"Graduate"
"5501",98190,"Lt High School"
"5502",1537,"Lt High School"
"5503",19975,"Lt High School"
"5504",38414,"High School"
"5505",13829,"Lt High School"
"5506",38414,"Lt High School"
"5507",38414,"Lt High School"
"5508",27658,"High School"
"5509",53780,"Bachelor"
"5510",1537,"Lt High School"
"5511",38414,"High School"
"5512",38414,"Bachelor"
"5513",53780,"Lt High School"
"5514",38414,"High School"
"5515",38414,"High School"
"5516",38414,"High School"
"5517",69146,"High School"
"5518",98190,"High School"
"5519",69146,"Lt High School"
"5520",19975,"High School"
"5521",38414,"Lt High School"
"5522",13829,"Lt High School"
"5526",38414,"High School"
"5527",16902,"Lt High School"
"5528",16902,"High School"
"5529",38414,"High School"
"5530",13829,"Lt High School"
"5531",27658,"High School"
"5532",38414,"Lt High School"
"5533",38414,"High School"
"5534",53780,"High School"
"5535",69146,"High School"
"5536",38414,"High School"
"5537",27658,"Bachelor"
"5538",27658,"Lt High School"
"5539",13829,"Bachelor"
"5540",27658,"High School"
"5541",27658,"High School"
"5542",38414,"Lt High School"
"5543",53780,"High School"
"5544",69146,"Junior College"
"5545",53780,"High School"
"5546",53780,"High School"
"5548",38414,"High School"
"5549",6146,"High School"
"5550",53780,"Bachelor"
"5551",6146,"Junior College"
"5552",6146,"High School"
"5553",23049,"Lt High School"
"5554",98190,"Bachelor"
"5555",1537,"High School"
"5556",6146,"Lt High School"
"5557",38414,"Graduate"
"5558",38414,"Junior College"
"5559",38414,"Junior College"
"5560",53780,"High School"
"5561",38414,"High School"
"5562",53780,"High School"
"5564",38414,"Lt High School"
"5565",98190,"Bachelor"
"5566",27658,"High School"
"5567",13829,"Lt High School"
"5568",38414,"Lt High School"
"5569",10756,"Lt High School"
"5570",69146,"High School"
"5571",98190,"High School"
"5572",1537,"Lt High School"
"5573",10756,"Lt High School"
"5575",16902,"Junior College"
"5576",16902,"High School"
"5577",6146,"High School"
"5578",19975,"Lt High School"
"5579",10756,"Lt High School"
"5580",27658,"High School"
"5581",38414,"Lt High School"
"5582",38414,"Lt High School"
"5583",53780,"Lt High School"
"5584",27658,"High School"
"5585",10756,"Lt High School"
"5586",6146,"Lt High School"
"5587",53780,"Bachelor"
"5589",16902,"Lt High School"
"5590",38414,"High School"
"5591",23049,"Lt High School"
"5593",1537,"High School"
"5594",53780,"High School"
"5596",53780,"High School"
"5597",38414,"Bachelor"
"5598",53780,"Bachelor"
"5599",69146,"Bachelor"
"5600",38414,"High School"
"5601",38414,"Bachelor"
"5603",38414,"High School"
"5604",38414,"High School"
"5605",98190,"High School"
"5606",27658,"Lt High School"
"5607",10756,"High School"
"5608",1537,"Lt High School"
"5609",10756,"Lt High School"
"5610",10756,"Lt High School"
"5611",6146,"Lt High School"
"5612",69146,"Lt High School"
"5613",69146,"High School"
"5614",38414,"High School"
"5615",53780,"High School"
"5617",69146,"High School"
"5618",98190,"Lt High School"
"5619",38414,"High School"
"5620",19975,"Lt High School"
"5621",38414,"High School"
"5623",38414,"High School"
"5624",53780,"High School"
"5625",38414,"High School"
"5626",53780,"Bachelor"
"5627",53780,"Bachelor"
"5628",27658,"High School"
"5629",98190,"Graduate"
"5630",23049,"Junior College"
"5631",38414,"High School"
"5632",27658,"Lt High School"
"5633",23049,"High School"
"5634",27658,"High School"
"5635",6146,"Lt High School"
"5636",19975,"High School"
"5637",53780,"High School"
"5638",19975,"High School"
"5639",53780,"High School"
"5640",38414,"High School"
"5642",27658,"Lt High School"
"5644",27658,"Lt High School"
"5645",27658,"Lt High School"
"5646",13829,"High School"
"5647",53780,"High School"
"5648",38414,"High School"
"5649",38414,"High School"
"5650",53780,"Bachelor"
"5651",38414,"High School"
"5652",69146,"High School"
"5653",53780,"Lt High School"
"5654",53780,"High School"
"5655",13829,"High School"
"5656",38414,"Bachelor"
"5657",27658,"High School"
"5658",6146,"Bachelor"
"5659",69146,"High School"
"5660",27658,"Bachelor"
"5661",69146,"High School"
"5663",38414,"High School"
"5664",53780,"High School"
"5665",38414,"High School"
"5666",27658,"Lt High School"
"5667",38414,"Lt High School"
"5668",38414,"High School"
"5669",27658,"Lt High School"
"5670",53780,"High School"
"5672",98190,"High School"
"5673",98190,"Bachelor"
"5674",98190,"Bachelor"
"5675",98190,"High School"
"5676",98190,"Bachelor"
"5677",27658,"High School"
"5678",38414,"Lt High School"
"5679",53780,"High School"
"5680",53780,"High School"
"5681",23049,"Lt High School"
"5682",10756,"Lt High School"
"5683",69146,"Lt High School"
"5684",53780,"Lt High School"
"5685",38414,"Lt High School"
"5686",98190,"High School"
"5687",1537,"Lt High School"
"5688",27658,"Lt High School"
"5690",38414,"Graduate"
"5691",38414,"Lt High School"
"5692",69146,"High School"
"5693",53780,"Lt High School"
"5694",53780,"High School"
"5695",53780,"High School"
"5696",69146,"High School"
"5697",38414,"Lt High School"
"5698",38414,"High School"
"5699",23049,"High School"
"5700",38414,"Lt High School"
"5701",53780,"High School"
"5702",23049,"High School"
"5703",19975,"Lt High School"
"5704",16902,"Lt High School"
"5706",13829,"Lt High School"
"5707",98190,"Lt High School"
"5708",6146,"Lt High School"
"5709",38414,"High School"
"5710",16902,"Junior College"
"5711",27658,"Lt High School"
"5712",38414,"High School"
"5713",69146,"High School"
"5714",27658,"High School"
"5715",38414,"High School"
"5716",38414,"Lt High School"
"5717",38414,"High School"
"5718",19975,"High School"
"5719",6146,"Lt High School"
"5720",10756,"Lt High School"
"5721",38414,"High School"
"5723",23049,"High School"
"5724",53780,"High School"
"5725",23049,"Lt High School"
"5726",10756,"Lt High School"
"5727",16902,"High School"
"5728",98190,"High School"
"5729",6146,"Lt High School"
"5730",10756,"Lt High School"
"5731",69146,"Graduate"
"5732",19975,"High School"
"5733",38414,"High School"
"5735",38414,"High School"
"5736",69146,"High School"
"5737",69146,"Bachelor"
"5738",38414,"Lt High School"
"5739",23049,"High School"
"5740",38414,"High School"
"5741",13829,"High School"
"5742",19975,"Lt High School"
"5743",19975,"High School"
"5744",13829,"High School"
"5745",38414,"Lt High School"
"5746",19975,"High School"
"5747",6146,"Lt High School"
"5748",38414,"Bachelor"
"5749",16902,"High School"
"5750",98190,"High School"
"5751",27658,"Lt High School"
"5752",27658,"Graduate"
"5753",98190,"High School"
